,race_year_id,event,race,country,participation,distance,elevation_gain,elevation_loss,aid_stations,participants,country_code,year,month,day,frequency_in_ranking,equivalent_distance,weighted_elevation
1142,2871,Le Grand Raid De La Réunion,Le Grand Raid De La Réunion,France,solo,168.9,10982.0,-10952.0,0,1363,FRA,2012,10,18,1363,278.72,0.3940154994259471
1143,3446,Oil Creek 100 Trail Runs,OIL CREEK 100 MILES,United States,solo,162.3,5420.0,-5420.0,0,87,USA,2012,10,13,87,216.5,0.25034642032332566
1144,3241,MAGREDI MOUNTAIN TRAIL,MAGREDI MOUNTAIN TRAIL 100 MI (MMT 100 MILE),Italy,solo,162.0,7000.0,-7000.0,0,48,ITA,2012,10,12,48,232.0,0.3017241379310345
1146,3436,Grindstone 100,Grindstone 100,United States,solo,163.0,7071.0,-7071.0,0,108,USA,2012,10,05,108,233.70999999999998,0.3025544478199478
1147,3244,RIO DEL LAGO 100,RIO DEL LAGO 100 MILES,United States,solo,165.9,3300.0,-3300.0,0,55,USA,2012,09,29,55,198.9,0.16591251885369532
1148,2705,BEAR 100,BEAR 100,United States,solo,161.0,6865.0,-6865.0,0,170,USA,2012,09,28,170,229.65,0.29893315915523627
1149,3597,Mogollon Monster 100,MOGOLLON MONSTER 100,United States,solo,170.6,7010.0,-7010.0,0,9,USA,2012,09,28,9,240.7,0.29123390112172826
1150,3249,Virgil Crest Ultras,100M,United States,solo,161.6,6100.0,-6100.0,0,32,USA,2012,09,22,32,222.6,0.27403414195867026
1151,3442,PINE TO PALM 100 MILE ENDURANCE RUN,PINE TO PALM 100 MILE ENDURANCE RUN,United States,solo,161.0,6100.0,-6100.0,0,73,USA,2012,09,15,73,222.0,0.2747747747747748
1152,3234,Glasshouse 100,GLASSHOUSE - 100 miles,Australia,solo,160.5,3075.0,-3075.0,0,39,AUS,2012,09,08,39,191.25,0.1607843137254902
1153,3957,Haliburton Forest Trail Race,HALIBURTON FOREST TRAIL RACE - 100 miles,Canada,solo,160.9,3120.0,-3120.0,0,23,CAN,2012,09,08,23,192.1,0.16241540864133264
1154,3003,L'Infernal Trail Des Vosges,160 Km,France,solo,156.0,7300.0,-7300.0,0,98,FRA,2012,09,08,98,229.0,0.31877729257641924
1155,4619,OSJ Yatsugatake Super Trail,100 Miles,Japan,solo,160.0,6400.0,-6400.0,0,138,JPN,2012,09,08,138,224.0,0.2857142857142857
1156,2688,PLAIN 100 MILE ENDURANCE RUN,PLAIN 100 MILE ENDURANCE RUN,United States,solo,161.0,7850.0,-7850.0,0,10,USA,2012,09,08,10,239.5,0.3277661795407098
1157,4129,LOST SOUL ULTRAMARATHON,LOST SOUL ULTRA 100 MILES,Canada,solo,161.1,5535.0,-5535.0,0,20,CAN,2012,09,07,20,216.45,0.25571725571725573
1158,3254,SUPERIOR TRAIL RACES,SUPERIOR SAWTOOTH 100 MILE TRAIL RUN,United States,solo,165.0,6100.0,-6400.0,0,89,USA,2012,09,07,89,226.0,0.26991150442477874
1159,3257,WASATCH FRONT 100 MILE ENDURANCE RUN,WASATCH FRONT 100 MILE ENDURANCE RUN,United States,solo,161.0,8215.0,-7965.0,0,213,USA,2012,09,07,213,243.15,0.3378572897388443
1160,3259,CASCADE CREST 100 MILE ENDURANCE RUN,CASCADE CREST 100 MILE ENDURANCE RUN,United States,solo,161.0,6700.0,-6700.0,0,96,USA,2012,08,25,96,228.0,0.29385964912280704
1161,2872,Le Grand Raid Des Pyrénées,GRP160 Ultra,France,solo,160.7,9661.0,-9661.0,0,352,FRA,2012,08,24,352,257.31,0.37546150557693053
1163,2665,Centurion North Downs Way 100,Centurion North Downs Way 100,United Kingdom,solo,161.0,3030.0,-3070.0,0,69,GBR,2012,08,11,69,191.3,0.15838996340825928
